City,Total_Tweets_of_City,Classified_Tweets,Sentiment_Label,Count,Percentage
ارومیه,8150,8150,neutral,4325,53.1
ارومیه,8150,8150,furious,1704,20.9
ارومیه,8150,8150,angry,1135,13.9
ارومیه,8150,8150,happy,658,8.1
ارومیه,8150,8150,delighted,328,4.0
اصفهان,10907,10907,neutral,5804,53.2
اصفهان,10907,10907,furious,2462,22.6
اصفهان,10907,10907,angry,1147,10.5
اصفهان,10907,10907,happy,874,8.0
اصفهان,10907,10907,delighted,620,5.7
خوزستان,2920,2920,neutral,1363,46.7
خوزستان,2920,2920,furious,633,21.7
خوزستان,2920,2920,angry,364,12.5
خوزستان,2920,2920,happy,343,11.7
خوزستان,2920,2920,delighted,217,7.4
تهران,1695,1695,neutral,681,40.2
تهران,1695,1695,furious,527,31.1
تهران,1695,1695,angry,280,16.5
تهران,1695,1695,happy,136,8.0
تهران,1695,1695,delighted,71,4.2
