City,Total_Tweets_of_City,Classified_Tweets,Sentiment_Label,Count,Percentage
ارومیه,2613,2613,neutral,1012,38.7
ارومیه,2613,2613,angry,589,22.5
ارومیه,2613,2613,furious,492,18.8
ارومیه,2613,2613,happy,431,16.5
ارومیه,2613,2613,delighted,89,3.4
اصفهان,2040,2040,neutral,569,27.9
اصفهان,2040,2040,furious,537,26.3
اصفهان,2040,2040,happy,499,24.5
اصفهان,2040,2040,angry,335,16.4
اصفهان,2040,2040,delighted,100,4.9
خوزستان,1090,1090,neutral,352,32.3
خوزستان,1090,1090,furious,244,22.4
خوزستان,1090,1090,happy,217,19.9
خوزستان,1090,1090,angry,205,18.8
خوزستان,1090,1090,delighted,72,6.6
تهران,751,751,furious,231,30.8
تهران,751,751,angry,219,29.2
تهران,751,751,neutral,206,27.4
تهران,751,751,happy,76,10.1
تهران,751,751,delighted,19,2.5
